Row.names,Time stamp,Sex,Age,Breed,Number,Accommodation,Area,Ext,Obs,Shy,Calm,Afraid,Clever,Vigilant,Persevering,Affectionate,Friendly,Lonely,Brutal,Dominant,Aggressive,Impulsive,Predictable,Distracted,Abundance,PredBird,PredMamm,More
1011,2021-02-19 00:19:57 UTC,M,More than 10,NSP,2,MI,R,2,2,4,5,3,5,5,4,5,5,5,1,3,3,1,5,5,3,0,0,
1012,2021-02-19 05:00:37 UTC,F,2a10,MCO,More than 5,MI,PU,0,2,1,4,1,4,5,5,4,4,5,3,5,4,5,5,3,3,0,0,
1013,2021-02-19 06:44:18 UTC,F,2a10,BEN,1,MI,R,3,2,4,2,1,5,5,5,5,2,1,4,5,4,3,4,4,3,0,4,
1014,2021-02-19 13:59:22 UTC,F,2a10,PER,2,AAB,U,0,1,2,4,2,4,4,4,3,3,3,1,1,1,3,4,3,3,0,0,
1015,2021-02-19 14:01:01 UTC,M,2a10,PER,2,AAB,U,0,1,4,3,4,4,4,2,4,1,2,1,1,1,1,3,4,3,0,0,
1016,2021-02-19 15:01:58 UTC,M,1a2,BEN,1,MI,PU,1,2,2,1,3,5,5,5,5,4,5,1,3,3,5,2,5,3,0,0,
1017,2021-02-19 17:57:12 UTC,M,Less than 1,BEN,1,AAB,PU,0,2,1,2,1,4,4,4,4,4,1,3,3,4,4,4,4,3,0,1,He loves water and brings his toys
1018,2021-02-20 08:36:40 UTC,M,More than 10,ORI,2,MI,R,0,2,3,4,2,4,4,4,4,3,4,1,1,1,1,3,3,3,0,0,
1019,2021-03-06 14:50:29 UTC,M,Less than 1,BRI,3,MI,R,0,3,1,1,1,5,3,2,2,3,2,4,3,1,3,5,3,3,0,0,
102,2021-03-06 23:45:08 UTC,F,2a10,NR,1,ASB,U,0,2,1,2,3,4,3,4,4,4,1,1,1,3,1,1,1,NSP,0,0,Very clingy
1020,2021-03-06 14:55:33 UTC,M,More than 10,BRI,2,ML,PU,2,2,2,5,2,5,2,3,5,4,1,1,3,2,1,4,2,3,0,1,
1021,2021-03-06 15:05:51 UTC,M,2a10,BRI,3,MI,R,0,2,2,5,1,5,5,5,5,5,1,1,1,1,1,5,2,3,0,0,
1022,2021-03-06 15:09:05 UTC,M,2a10,Other,1,ML,R,0,3,4,5,3,4,5,4,5,4,4,1,3,2,2,4,3,3,0,0,"Siberian cat, not used to going out"
1023,2021-03-06 15:22:04 UTC,M,2a10,BRI,1,MI,PU,0,2,3,5,2,5,4,4,4,4,3,1,3,1,3,4,2,3,0,0,
1024,2021-03-06 16:08:59 UTC,F,2a10,BRI,1,ASB,U,2,3,3,2,3,5,3,3,4,2,1,1,3,3,2,3,2,3,0,0,Sleep! She sleeps at least 20 hours a day...
1025,2021-03-06 16:09:48 UTC,F,2a10,EUR,1,MI,PU,0,2,5,5,3,5,3,3,5,2,4,1,1,3,3,3,5,3,0,0,"It's been 6 weeks since I adopted her, she came out of a human who e-navigation + 20 and she didn't take care of her anymore herself. It's the SPA who came to put them in safety. So that's the reason why I can't answer some questions."
1026,2021-03-06 16:15:16 UTC,F,Less than 1,BRI,1,MI,R,0,2,1,2,3,2,2,4,4,4,5,2,4,3,4,2,2,3,0,0,"British longhair, does not go out at all."
1027,2021-03-06 16:22:08 UTC,F,2a10,BRI,2,MI,PU,0,2,3,5,4,5,5,5,5,4,4,1,4,4,1,4,1,3,0,0,
1028,2021-03-06 16:27:52 UTC,F,2a10,NR,3,MI,R,2,3,1,2,2,4,4,3,4,1,4,4,4,4,4,4,1,3,0,3,
1029,2021-03-06 16:37:00 UTC,M,Less than 1,NR,3,MI,R,0,3,3,3,3,2,2,2,2,1,3,1,3,3,3,2,2,3,0,0,One of my 3 cats comes from outside but the 3 do not go out because they are not yet neutered and I do not want them to reproduce.
103,2021-03-07 00:34:47 UTC,M,Less than 1,CHA,1,ML,U,0,2,5,5,3,4,5,3,4,1,4,3,4,3,4,4,3,NSP,0,0,
1030,2021-03-06 16:40:02 UTC,M,2a10,BRI,2,MI,R,1,2,1,4,4,3,4,3,5,5,1,1,1,1,1,5,5,3,0,0,
1031,2021-03-06 16:53:33 UTC,F,2a10,BRI,1,ML,PU,0,2,2,4,3,4,4,4,4,1,2,1,3,3,2,4,4,3,0,0,She loves catching flies and spiders
1032,2021-03-06 16:58:42 UTC,F,Less than 1,BRI,1,MI,R,0,2,3,3,4,4,2,4,5,4,3,2,3,3,3,3,4,3,0,0,
1033,2021-03-06 17:17:10 UTC,M,Less than 1,BRI,2,MI,PU,0,3,1,4,3,2,2,2,2,4,1,3,3,2,3,3,3,3,0,0,For now it is not coming out
1034,2021-03-06 17:17:12 UTC,F,2a10,BRI,1,MI,R,0,2,1,4,1,3,4,3,4,4,2,1,1,3,2,4,4,3,0,0,
1035,2021-03-06 17:22:00 UTC,M,2a10,EUR,1,ASB,R,0,2,5,2,3,4,5,4,4,2,4,4,3,3,4,2,4,3,0,0,
1036,2021-03-06 17:23:20 UTC,F,1a2,PER,1,ML,R,0,2,2,4,4,5,3,3,5,5,3,1,3,2,3,2,3,3,0,0,
1037,2021-03-06 17:23:36 UTC,M,Less than 1,BRI,1,MI,U,1,2,2,4,1,4,4,4,4,2,4,2,2,1,1,3,4,3,0,0,
1038,2021-03-06 17:26:21 UTC,M,2a10,EUR,1,ASB,U,0,3,4,4,3,5,5,5,5,4,3,2,4,3,3,3,3,3,0,0,
1039,2021-03-06 17:31:53 UTC,F,2a10,NR,1,ML,R,0,1,3,3,3,4,4,4,3,1,4,4,4,1,4,4,4,3,0,0,
104,2021-03-07 01:28:29 UTC,F,1a2,EUR,1,AAB,U,0,1,3,3,2,4,4,4,3,4,5,1,4,5,3,4,5,NSP,0,0,
1040,2021-03-06 17:33:08 UTC,F,Less than 1,EUR,2,AAB,U,2,2,5,4,3,3,4,4,4,5,2,1,2,3,3,4,4,3,0,3,"She brings back earthworms, dead leaves."
1041,2021-03-06 17:33:41 UTC,F,2a10,BRI,1,AAB,U,1,2,2,4,5,4,5,4,4,4,4,2,4,5,4,3,4,3,0,0,
1042,2021-03-06 17:33:43 UTC,M,More than 10,EUR,4,MI,R,2,2,4,5,2,5,5,5,5,1,4,3,1,3,3,4,3,3,0,1,"I have an outdoor cattery, which reduces predation"
1043,2021-03-06 17:35:10 UTC,M,1a2,BRI,1,ML,R,1,1,2,5,3,3,4,2,2,2,1,1,3,3,3,3,5,3,0,0,
1044,2021-03-06 17:37:09 UTC,M,Less than 1,EUR,1,MI,R,1,2,2,1,1,5,4,4,5,4,5,5,3,1,1,4,3,3,0,0,He goes out very regularly but on a leash and being a student I live with my mother in a house but also in my ASB but we both go out in the greenery he goes out at least 4 times a week
1045,2021-03-06 17:37:46 UTC,F,1a2,NR,1,ML,PU,2,1,4,4,4,1,3,3,1,2,3,3,3,2,3,3,3,3,0,0,
1046,2021-03-06 17:39:20 UTC,F,1a2,EUR,1,MI,R,2,2,4,4,5,4,3,3,5,4,3,2,2,3,2,4,3,3,0,3,
1047,2021-03-06 17:42:44 UTC,F,2a10,RAG,3,MI,R,0,2,1,4,3,4,4,4,4,1,4,1,4,3,4,2,4,3,0,0,She drinks water from the tap. She is very capricious.
1048,2021-03-06 17:43:41 UTC,M,1a2,EUR,2,MI,R,2,2,3,4,3,3,4,4,5,1,1,1,1,1,1,1,1,3,0,0,
1049,2021-03-06 17:44:51 UTC,F,2a10,Other,3,MI,R,1,1,4,4,4,4,4,4,4,4,4,1,4,1,2,2,4,3,0,1,
105,2021-03-07 03:30:20 UTC,M,2a10,NR,More than 5,MI,R,0,3,2,2,2,1,1,1,1,2,2,2,3,2,2,2,2,NSP,0,0,Do not go out. So no animal capture
1050,2021-03-06 17:46:47 UTC,F,Less than 1,MCO,3,MI,R,1,2,1,1,1,4,1,4,3,4,1,2,3,3,4,4,4,3,0,0,"She is not afraid of anything or anyone, even the vacuum cleaner, she tries to hit it with her paw ??"
1051,2021-03-06 17:51:43 UTC,F,Less than 1,Other,1,MI,R,0,2,2,5,3,4,4,4,5,5,1,1,3,3,3,2,1,3,0,0,"No outdoor outing, enclosure not yet available, R'Mione is the future 1st mother of a British Longhair cat breeder"
1052,2021-03-06 17:51:53 UTC,F,2a10,NR,2,ML,PU,1,2,2,4,4,4,4,4,5,4,2,1,4,2,2,5,2,3,0,0,"Our cat is tied up when she is outside, however she can get stuck in a tree... there is a road a few meters from the house, we are afraid that she will go onto this road."
1053,2021-03-06 17:53:53 UTC,M,More than 10,EUR,2,MI,R,1,3,3,4,3,4,4,4,5,3,1,2,2,2,2,2,2,3,0,1,
1054,2021-03-06 17:53:59 UTC,M,Less than 1,NSP,1,MI,R,1,1,1,3,2,3,3,2,2,2,1,2,1,3,3,3,3,3,0,0,
1055,2021-03-06 17:54:58 UTC,F,2a10,NR,2,ML,PU,1,2,4,4,2,4,4,4,4,2,4,2,2,4,4,4,1,3,0,0,"Same as for her sister, road axis near our house, she is tied up when she is outside but can move around and play without the trees or the hedge."
1056,2021-03-06 17:56:28 UTC,M,Less than 1,EUR,1,ML,U,0,2,1,4,1,5,5,5,5,5,1,1,1,1,1,5,3,3,0,0,
1057,2021-03-06 17:56:43 UTC,M,2a10,NSP,2,AAB,U,0,3,2,2,2,5,5,5,5,4,1,3,5,3,3,3,4,3,0,0,
1058,2021-03-06 18:00:09 UTC,F,Less than 1,EUR,3,MI,R,2,3,1,3,1,5,4,4,5,5,1,4,3,1,3,4,4,3,0,0,
1059,2021-03-06 18:03:56 UTC,F,Less than 1,NSP,2,ML,R,0,2,4,4,1,3,3,4,3,1,4,1,2,1,1,2,4,3,0,0,
106,2021-03-07 07:56:31 UTC,M,1a2,NR,1,ASB,U,0,2,1,4,3,4,3,3,5,5,1,1,3,3,2,3,2,NSP,0,0,"For the last questions, my answers are not to be taken into account because I do not have an outside space and my cat does not go out."
1060,2021-03-06 18:05:19 UTC,M,1a2,NSP,2,ML,R,0,2,1,1,1,3,3,4,4,4,1,1,2,1,1,2,4,3,0,0,
1061,2021-03-06 18:06:42 UTC,F,Less than 1,EUR,1,AAB,U,0,2,3,4,4,4,4,3,5,3,2,2,2,2,2,3,3,3,0,0,"I live on the 7th floor. She has already been on the balcony 2 or 3 times but I am the one who is scared when I see her pass the pasta through the bars. She is reassured by the presence of the dog that I have had for 2 months. My cat is 6 months old, soon to be sterilized ??"
1062,2021-03-06 18:12:46 UTC,F,1a2,BRI,1,MI,R,0,2,2,5,3,5,5,5,4,5,4,1,2,3,3,3,3,3,0,0,
1063,2021-03-06 18:13:16 UTC,M,2a10,NR,2,AAB,PU,0,2,4,5,1,4,2,2,4,2,3,2,2,1,1,4,3,3,0,0,Indoor cat
1064,2021-03-06 18:15:07 UTC,M,1a2,NR,2,AAB,PU,0,2,1,3,1,4,3,5,5,5,1,2,2,2,3,4,3,3,0,0,Indoor cat
1065,2021-03-06 18:17:14 UTC,F,2a10,NR,1,MI,U,0,2,1,4,3,4,2,4,5,4,2,2,2,1,1,4,4,3,0,0,
1066,2021-03-06 18:19:02 UTC,M,1a2,BRI,2,MI,R,0,3,2,5,1,5,4,5,5,4,2,1,1,1,1,4,1,3,0,0,
1067,2021-03-06 18:20:05 UTC,F,Less than 1,EUR,2,MI,PU,2,2,3,4,4,5,5,5,5,3,2,2,1,2,3,4,4,3,0,0,
1068,2021-03-06 18:24:57 UTC,M,2a10,EUR,3,ML,R,2,2,1,3,3,4,5,5,5,5,1,2,3,4,3,4,4,3,0,0,
1069,2021-03-06 18:28:54 UTC,M,More than 10,EUR,3,ML,R,2,2,5,5,1,3,5,5,5,5,1,1,4,5,3,4,3,3,0,0,
107,2021-03-07 08:22:31 UTC,M,1a2,EUR,2,ML,U,0,2,2,2,4,5,3,4,5,3,1,3,2,2,3,3,3,NSP,0,0,
1070,2021-03-06 18:30:09 UTC,M,More than 10,EUR,1,MI,R,1,3,4,4,5,4,4,3,5,4,4,1,1,1,1,5,3,3,0,0,"Didn't bring us a single animal, nothing! Very fearful, doesn't want to go out if we're not outside"
1071,2021-03-06 18:31:29 UTC,F,2a10,BRI,2,ML,PU,1,2,4,4,4,4,3,3,4,1,4,2,1,2,1,3,3,3,0,0,Tied outdoors with 5m leash
1072,2021-03-06 18:32:46 UTC,M,Less than 1,NR,1,ML,R,2,2,2,2,4,3,3,4,1,2,4,4,4,2,5,1,3,3,0,0,
1073,2021-03-06 18:32:46 UTC,F,Less than 1,NR,2,MI,R,2,2,4,4,4,4,4,4,5,4,4,1,1,3,1,4,4,3,0,0,
1074,2021-03-06 18:37:38 UTC,F,2a10,EUR,1,ML,PU,0,3,5,5,4,5,5,2,5,5,1,1,1,3,1,5,5,3,0,0,He never goes outside except on a leash.
1075,2021-03-06 18:38:53 UTC,M,Less than 1,NR,2,ML,PU,2,2,1,3,1,4,3,3,5,5,1,1,2,1,2,5,5,3,0,3,
1076,2021-03-06 18:38:57 UTC,M,Less than 1,NR,1,ML,R,0,2,4,2,3,5,5,3,4,2,3,3,3,3,4,4,4,3,0,0,
1077,2021-03-06 18:39:03 UTC,M,2a10,BRI,1,AAB,PU,3,3,5,3,4,3,3,1,4,4,3,1,2,4,2,5,2,3,0,0,Meows all the time
1078,2021-03-06 18:39:32 UTC,M,More than 10,EUR,4,ML,R,0,0,1,5,2,4,4,5,5,5,4,1,1,1,1,5,2,3,0,0,He doesn't go out because he's 16 and has health problems.
1079,2021-03-06 18:41:29 UTC,M,2a10,EUR,4,ML,R,0,3,1,3,1,3,1,5,4,4,1,3,4,1,5,3,5,3,0,0,
108,2021-03-07 08:23:58 UTC,F,Less than 1,ORI,2,ML,U,0,2,4,4,3,4,5,3,4,2,5,3,2,3,4,3,3,NSP,0,0,
1080,2021-03-06 18:41:41 UTC,M,2a10,MCO,4,ML,PU,3,1,5,5,4,4,5,4,5,1,5,1,3,1,1,4,2,3,0,0,
1081,2021-03-06 18:43:48 UTC,M,2a10,EUR,4,ML,R,2,2,4,3,4,4,4,4,4,4,4,1,2,1,2,1,1,3,0,1,
1082,2021-03-06 18:45:24 UTC,F,More than 10,ORI,4,ML,R,1,3,4,4,5,5,5,5,5,4,5,3,4,5,5,1,4,3,0,0,
1083,2021-03-06 18:47:20 UTC,F,Less than 1,EUR,2,ML,U,0,2,3,1,1,4,4,5,3,1,3,2,1,1,1,1,1,3,0,0,
1084,2021-03-06 18:48:12 UTC,M,1a2,NR,1,ASB,R,0,2,2,2,4,4,5,2,5,5,3,3,3,4,4,4,5,3,0,0,I answered the last 3 questions but it only comes out 0
1085,2021-03-06 19:03:38 UTC,F,2a10,BRI,2,MI,R,1,1,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,3,0,0,
1086,2021-03-06 19:04:18 UTC,F,Less than 1,EUR,1,MI,PU,1,2,3,2,3,2,2,2,3,3,2,2,1,3,2,1,2,3,0,0,
1087,2021-03-06 19:06:21 UTC,M,Less than 1,NR,2,MI,R,0,2,3,4,3,4,4,4,5,4,2,1,1,2,2,3,3,3,0,0,
1088,2021-03-06 19:06:24 UTC,F,1a2,BRI,More than 5,MI,R,0,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,3,0,0,
1089,2021-03-06 19:13:34 UTC,F,Less than 1,BRI,5,MI,R,0,2,1,4,1,5,4,5,5,4,1,3,1,1,2,4,4,3,0,0,
109,2021-03-07 09:16:26 UTC,F,2a10,BRI,More than 5,ML,U,0,2,1,4,1,1,2,5,4,4,2,2,5,4,2,4,1,NSP,0,0,
1090,2021-03-06 19:23:31 UTC,M,Less than 1,BRI,1,ML,PU,1,3,3,4,3,5,5,5,3,3,3,1,1,1,1,1,2,3,0,0,Go out on a leash in the garden
1091,2021-03-06 19:27:01 UTC,F,1a2,EUR,More than 5,ML,PU,3,2,3,4,5,5,5,5,2,1,5,1,1,3,4,3,1,3,0,3,
1092,2021-03-06 19:29:12 UTC,M,2a10,EUR,More than 5,ML,PU,2,2,5,5,4,5,4,4,4,3,2,1,1,1,5,5,1,3,0,0,He plays with small rodents that he finds outside but does not kill them (he brings them back to my house alive)
1093,2021-03-06 19:36:52 UTC,F,2a10,EUR,2,ML,U,2,2,4,3,5,5,5,5,5,5,3,2,1,1,1,4,5,3,0,2,
1094,2021-03-06 19:56:15 UTC,F,More than 10,BRI,2,MI,R,0,2,1,5,2,3,2,4,5,5,1,5,2,2,1,3,4,3,0,0,
1095,2021-03-06 20:11:00 UTC,F,2a10,EUR,1,MI,R,1,2,2,2,5,5,4,5,4,2,4,4,4,4,4,4,4,3,0,0,
1096,2021-03-06 20:20:38 UTC,M,2a10,NR,2,ML,R,2,1,3,5,1,4,5,3,5,4,3,1,3,5,3,3,2,3,0,0,"Neutered and dominant cat with outside cats
 Hunting and prey unknown due to lack of garden but goes out into a backyard park"
1097,2021-03-06 20:21:59 UTC,F,Less than 1,NR,1,ML,R,1,2,3,4,1,5,5,5,3,3,4,1,1,1,2,4,3,3,0,0,
1098,2021-03-06 20:29:17 UTC,F,1a2,TUV,3,MI,R,0,2,1,5,1,5,5,5,5,5,1,1,1,1,1,5,4,3,0,0,"Answer for TUV, my EUR is the opposite"
1099,2021-03-06 20:52:17 UTC,F,Less than 1,EUR,1,AAB,U,0,2,2,4,2,4,4,5,4,5,2,1,1,1,1,1,4,3,0,0,
11,2021-02-12 20:07:44 UTC,NSP,1a2,MCO,3,ASB,U,0,2,2,3,2,4,2,4,2,4,3,2,4,2,4,2,3,NSP,0,0,
110,2021-03-07 09:33:42 UTC,M,Less than 1,BRI,1,ASB,U,0,2,1,3,3,4,5,4,4,4,2,1,1,1,2,3,5,NSP,0,0,
1100,2021-03-06 20:56:13 UTC,M,Less than 1,BRI,1,MI,R,0,3,1,4,2,5,5,5,5,5,1,1,2,2,2,2,4,3,0,0,
1101,2021-03-06 20:57:38 UTC,F,1a2,SBI,2,MI,R,1,3,4,3,3,4,5,5,5,3,2,2,2,1,3,4,5,3,0,0,"This is a cat that only goes out under supervision for 1 hour max per day, so it can't hunt, but it is very curious when it hears a bird, for example."
1102,2021-03-06 21:05:47 UTC,M,2a10,BRI,1,MI,R,0,2,5,4,3,3,5,4,3,3,5,1,3,3,1,4,2,3,0,0,"Indoor cat, has not seen a mouse yet, but his toy mouse, he uses it like a real one. It's funny."
1103,2021-03-06 21:06:53 UTC,M,1a2,BRI,2,MI,R,0,2,1,3,1,3,3,3,3,3,1,2,3,3,3,3,3,3,0,0,
1104,2021-03-06 21:09:34 UTC,M,Less than 1,EUR,1,MI,R,1,3,4,4,4,5,4,4,4,4,2,2,2,2,4,4,4,3,0,0,He's a little afraid to go outside when I'm not with him.
1105,2021-03-06 21:14:21 UTC,M,2a10,BRI,2,ML,R,0,2,1,4,3,3,5,4,5,4,2,2,5,1,2,4,1,3,0,0,
1106,2021-03-06 21:26:20 UTC,F,Less than 1,CHA,1,ASB,U,0,3,3,3,3,4,4,4,5,3,3,2,2,3,3,4,3,3,0,0,
1107,2021-03-06 21:28:42 UTC,F,Less than 1,NR,1,MI,PU,0,2,1,3,4,4,2,4,5,5,2,2,4,3,4,3,4,3,0,0,"Since my kitten doesn't go out, it's impossible to say if she would bring me prey or not. But judging by her behavior, I would say yes. A real toy hunter. She even jumps on my mother's dog haha"
1108,2021-03-06 21:32:21 UTC,F,More than 10,EUR,2,MI,R,3,2,4,5,4,3,3,3,5,2,4,1,3,2,3,4,3,3,0,1,
1109,2021-03-06 22:06:04 UTC,F,Less than 1,NR,4,MI,U,2,2,1,3,1,4,4,3,5,4,1,1,3,4,3,4,2,3,0,0,
111,2021-03-07 10:10:13 UTC,M,Less than 1,BRI,2,ASB,U,0,2,1,3,2,4,5,5,3,5,4,1,1,1,2,3,5,NSP,0,1,
1110,2021-03-06 22:15:30 UTC,M,2a10,EUR,4,ML,U,0,2,1,2,1,4,2,4,5,5,4,4,4,5,5,3,5,3,0,0,
1111,2021-03-06 22:17:55 UTC,F,2a10,EUR,4,ML,U,0,2,1,2,2,5,4,5,5,4,4,2,4,4,3,4,2,3,0,0,
1112,2021-03-06 22:26:31 UTC,F,2a10,EUR,3,AAB,PU,1,3,4,3,3,5,4,4,5,2,1,3,3,1,3,4,5,3,0,0,Curious
1113,2021-03-06 22:30:58 UTC,F,2a10,BRI,2,AAB,U,1,3,5,5,2,4,5,3,2,1,4,1,1,1,2,4,2,3,0,0,
1114,2021-03-06 22:32:49 UTC,M,1a2,SBI,1,MI,R,1,3,4,5,1,5,4,4,5,5,1,1,1,1,1,3,3,3,0,0,
1115,2021-03-06 22:34:30 UTC,M,1a2,MCO,1,MI,R,1,3,3,4,3,5,4,4,4,4,3,3,3,2,2,3,3,3,0,0,
1116,2021-03-06 22:36:07 UTC,M,2a10,SPH,More than 5,ML,U,2,2,1,4,1,5,5,5,5,5,1,1,1,1,1,3,4,3,0,0,
1117,2021-03-06 22:45:39 UTC,F,Less than 1,BEN,1,ML,U,0,2,2,1,3,5,5,5,3,2,3,4,4,3,3,4,3,3,0,0,Half BEN and Abissan cat.
1118,2021-03-06 22:46:24 UTC,M,More than 10,BRI,4,MI,R,1,2,2,5,1,5,5,4,5,2,2,1,1,1,1,4,2,3,0,1,Very homebody
1119,2021-03-06 22:46:50 UTC,M,Less than 1,NSP,4,ML,PU,2,2,2,1,1,4,4,5,4,3,1,1,4,3,2,3,2,3,0,4,He is the youngest in the family (He is not yet 1 year old). He was taken in unweaned. He went out very quickly and we live in the woods.
112,2021-03-07 10:48:05 UTC,M,1a2,NR,2,ML,U,0,1,4,3,1,4,4,4,4,4,2,1,4,1,1,3,3,NSP,0,0,
1120,2021-03-06 22:57:44 UTC,F,2a10,EUR,2,ML,PU,3,2,4,4,3,5,5,5,4,2,4,1,3,3,2,4,4,3,0,1,
1121,2021-03-06 23:07:00 UTC,M,More than 10,EUR,2,ML,R,3,2,4,4,3,4,3,3,3,3,4,1,2,1,3,3,3,3,0,0,
1122,2021-03-06 23:33:20 UTC,M,2a10,CHA,2,MI,R,0,2,2,4,1,4,4,3,5,5,3,3,3,1,3,4,3,3,0,0,
1123,2021-03-06 23:35:24 UTC,F,1a2,Other,2,MI,U,0,3,2,4,2,5,3,3,5,5,2,1,1,2,3,3,3,3,0,0,
1124,2021-03-06 23:36:33 UTC,F,Less than 1,NR,2,MI,R,0,2,1,1,1,5,2,4,4,5,2,4,3,2,4,4,4,3,0,0,
1125,2021-03-06 23:40:49 UTC,F,2a10,EUR,5,AAB,U,2,2,2,4,3,5,5,5,3,4,4,3,4,1,1,4,3,3,0,3,"don't like it when I lock myself in a room, the doors have to stay open all the time"
1126,2021-03-06 23:43:44 UTC,F,2a10,NR,4,MI,R,0,1,1,3,2,5,4,4,5,3,3,3,4,3,3,3,1,3,0,1,
1127,2021-03-06 23:57:13 UTC,F,Less than 1,EUR,1,MI,PU,0,2,3,5,1,4,5,3,4,4,5,1,3,3,4,4,3,3,0,0,
1128,2021-03-07 00:02:22 UTC,M,Less than 1,NR,1,MI,R,2,2,4,3,4,4,2,4,4,3,4,2,3,1,4,4,4,3,0,4,
1129,2021-03-07 00:02:50 UTC,M,1a2,BRI,2,MI,R,0,1,3,1,1,1,1,1,1,2,3,2,2,2,2,1,1,3,0,0,
113,2021-03-07 11:08:23 UTC,F,Less than 1,NR,1,ASB,PU,0,2,2,4,2,4,4,4,5,4,4,1,4,1,1,3,4,NSP,0,0,I had her at 1 month so immediately her mother. Currently 7 months and continues to suckle at the level of my neck. She cannot live without me and I without her. We are fusional
1130,2021-03-07 00:09:37 UTC,F,1a2,EUR,2,AAB,PU,0,2,2,4,2,4,4,4,5,4,2,1,2,2,3,3,2,3,0,0,
1131,2021-03-07 00:11:40 UTC,M,1a2,EUR,2,AAB,PU,0,2,5,4,4,4,5,3,4,3,2,1,3,2,2,3,5,3,0,0,
1132,2021-03-07 00:12:55 UTC,F,2a10,EUR,1,MI,R,0,2,4,2,2,4,4,5,5,5,3,2,5,5,5,4,4,3,0,0,"We had 2 cats from the same litter, our M was run over in front of our house, 2 and a half years ago now, since then his sister is no longer allowed to go out, and when she runs away.... I take it very badly, afraid that she will be run over in turn....."
1133,2021-03-07 00:29:03 UTC,M,2a10,BRI,More than 5,MI,R,2,1,4,5,1,5,3,3,5,4,2,1,2,1,2,4,2,3,0,0,Cats have access to an outdoor enclosure.
1134,2021-03-07 01:42:17 UTC,M,1a2,NSP,1,AAB,U,1,1,4,3,4,4,4,3,4,3,3,4,3,3,3,3,3,3,0,0,He jumps on me for no apparent reason
1135,2021-03-07 03:59:53 UTC,M,2a10,NSP,2,MI,PU,0,2,2,1,3,3,2,2,3,3,3,2,1,1,1,2,1,3,0,1,Attacks my other cat if I give him attention and always listens and is on guard during his play time again attacks my other cat if she shows up during this time and is very easily distracted if he hears noise
1136,2021-03-07 05:01:45 UTC,M,1a2,Other,1,MI,PU,0,2,1,3,3,5,1,4,5,5,1,2,2,3,2,5,5,3,0,1,
