"id","breed","sex","age","numberOfCatsInHouse","houseType","zone","timeOutside","timeWithOwner","shy","calm","afraid","clever","vigilant","persevering","affectionate","friendly","lonely","brutal","dominant","aggressive","impulsive","predictable","distracted","greeneryInArea","birdCatcher","mammalCatcher","bonus"
"119","3","2","2","2","4","3","1","3","1","3","1","3","3","3","3","3","1","2","3","3","3","3","3","3","1","1",""
"120","5","2","1","1","4","3","2","4","4","4","4","5","4","4","4","4","2","2","2","2","4","4","4","3","1","1","He's a little afraid to go outside when I'm not with him."
"121","3","2","3","2","3","3","1","3","1","4","3","3","5","4","5","4","2","2","5","1","2","4","1","3","1","1",""
"122","4","1","1","1","1","1","1","4","3","3","3","4","4","4","5","3","3","2","2","3","3","4","3","3","1","1",""
"124","5","1","4","2","4","3","4","3","4","5","4","3","3","3","5","2","4","1","3","2","3","4","3","3","1","2",""
"125","13","1","1","4","4","1","3","3","1","3","1","4","4","3","5","4","1","1","3","4","3","4","2","3","1","1",""
"129","5","1","3","3","2","2","2","4","4","3","3","5","4","4","5","2","1","3","3","1","3","4","5","3","1","1","Curious"
"130","3","1","3","2","2","1","2","4","5","5","2","4","5","3","2","1","4","1","1","1","2","4","2","3","1","1",""
"131","2","2","2","1","4","3","2","4","4","5","1","5","4","4","5","5","1","1","1","1","1","3","3","3","1","1",""
"132","6","2","2","1","4","3","2","4","3","4","3","5","4","4","4","4","3","3","3","2","2","3","3","3","1","1",""
"133","9","2","3","6","3","1","3","3","1","4","1","5","5","5","5","5","1","1","1","1","1","3","4","3","1","1",""
"134","1","1","1","1","3","1","1","3","2","1","3","5","5","5","3","2","3","4","4","3","3","4","3","3","1","1","Half BEN and Abissan cat."
"135","3","2","4","4","4","3","2","3","2","5","1","5","5","4","5","2","2","1","1","1","1","4","2","3","1","2","Very homebody"
"140","4","2","3","2","4","3","1","3","2","4","1","4","4","3","5","5","3","3","3","1","3","4","3","3","1","1",""
"141","13","1","2","2","4","1","1","4","2","4","2","5","3","3","5","5","2","1","1","2","3","3","3","3","1","1",""
"146","13","2","1","1","4","3","3","3","4","3","4","4","2","4","4","3","4","2","3","1","4","4","4","3","1","5",""
"147","3","2","2","2","4","3","1","2","3","1","1","1","1","1","1","2","3","2","2","2","2","1","1","3","1","1",""
"149","5","1","2","2","2","2","1","3","2","4","2","4","4","4","5","4","2","1","2","2","3","3","2","3","1","1",""
"152","3","2","3","6","4","3","3","2","4","5","1","5","3","3","5","4","2","1","2","1","2","4","2","3","1","1","Cats have access to an outdoor enclosure."
"155","13","2","2","1","4","2","1","3","1","3","3","5","1","4","5","5","1","2","2","3","2","5","5","3","1","2",""
"156","5","1","3","1","4","3","3","3","5","4","5","4","4","4","5","2","3","1","1","1","3","3","3","3","1","3",""
"157","5","1","1","1","2","2","1","2","2","4","3","5","5","5","5","4","2","4","3","3","4","2","4","3","1","1",""
"158","5","1","2","6","4","3","1","4","1","2","1","5","4","1","5","3","2","2","4","3","4","4","5","3","1","1","Door opener"
"162","6","2","1","4","3","3","1","3","1","3","1","5","3","4","5","5","1","1","3","1","4","3","4","3","1","1","He stays inside"
"163","10","2","1","4","4","3","1","3","1","4","1","4","2","4","5","5","2","4","2","2","2","4","4","3","1","1",""
"164","13","1","3","6","3","3","1","3","3","4","5","3","4","4","3","3","4","2","1","4","3","4","1","3","1","1","Where does the cat come from (find where to buy)"
"165","6","1","3","2","4","3","3","4","4","4","4","5","5","4","5","2","2","1","5","5","4","3","2","3","1","1",""
"166","6","2","2","2","4","3","3","4","1","5","1","4","4","5","5","5","2","1","2","3","1","3","4","3","1","1",""
"174","8","2","4","2","4","3","3","4","3","5","4","5","5","1","3","3","4","2","3","3","1","3","1","3","1","2",""
"178","5","1","4","1","4","3","1","3","5","5","4","4","5","3","5","2","2","1","2","5","2","4","4","3","1","1",""
"180","4","1","3","4","3","2","3","3","2","5","4","2","2","2","5","5","4","1","1","3","1","4","2","3","1","1","This is a charter collected in front of my school. She was starved and beaten by the neighborhood children. She is no longer clean as soon as her litter box is a little dirty. Very clingy with me."
"182","4","1","4","4","3","2","3","3","2","4","2","4","4","4","5","4","2","1","3","3","2","4","2","3","1","1","This is my ""granny"". She was born at my house. I bottle-fed her. She lived in an apartment for 9 years and then discovered the house and its exteriors when we moved (1 year after our arrival). She comes back as soon as we call her. She climbs the facade like Spiderman to enter through the balcony (my ground floor is street level and my garden is cellar level. The balcony is ground floor level). Rather discreet during the day and as soon as my baby is in bed she comes to get cuddles. She is starting to show herself more with my little boy (He will be 2 years old, he is less ""brutal"" than when he was younger.
 This is the last one I have left in ""chartreuse"". I had the mother (who died of a stomach tumor at 9 years old and her brother, who died of respiratory cancer at 8 years old)."
"183","5","1","3","1","4","3","1","4","2","4","3","4","4","4","5","5","1","2","2","3","2","4","3","3","1","1",""
"184","3","1","1","1","2","2","1","4","1","2","2","5","3","5","5","4","4","2","3","1","1","1","3","3","1","1",""
"187","9","1","3","1","4","1","1","4","1","1","1","5","5","5","4","5","1","4","4","3","4","4","4","3","1","1",""
"188","13","1","2","2","3","1","3","3","1","4","2","4","4","4","4","4","3","2","2","1","2","3","5","3","1","2","Only goes out on a leash in the garden or access to fresh air on the balcony."
"189","5","2","3","6","4","3","2","2","3","4","2","4","3","3","4","3","4","2","2","2","2","3","3","3","1","1",""
"193","13","1","4","1","3","2","1","4","5","4","5","5","5","5","4","1","5","1","3","1","1","3","1","3","1","1",""
"194","12","1","4","3","4","3","1","2","2","3","2","4","4","4","5","5","3","1","4","3","2","4","2","3","1","1",""
"196","6","2","2","2","3","2","1","3","3","3","3","3","3","3","3","3","3","2","3","1","2","2","3","3","1","1",""
"198","4","2","3","2","4","3","3","3","1","4","4","5","5","4","5","4","2","1","4","4","2","5","2","3","1","3",""
"199","1","2","1","3","2","2","1","4","1","1","1","5","5","5","5","5","1","1","4","1","5","4","1","3","1","1",""
"201","5","2","3","2","4","2","2","4","3","4","3","4","4","2","4","4","2","1","1","1","1","3","1","3","1","1",""
"202","11","2","2","6","4","2","2","4","2","1","1","4","4","4","3","1","4","4","4","3","4","1","4","3","1","1",""
"204","11","2","1","1","4","3","3","3","4","1","3","4","4","4","4","3","1","4","2","2","4","1","3","3","1","1",""
"205","13","2","3","2","3","2","4","2","2","4","1","4","3","3","4","3","4","1","1","1","1","3","3","3","1","1",""
"206","11","2","3","3","4","3","1","3","1","3","3","5","5","5","5","5","1","1","3","1","1","1","1","3","1","1",""
"207","2","1","3","3","4","3","3","4","4","4","3","5","5","4","5","3","2","1","1","1","3","3","3","3","1","2",""
"208","6","2","3","3","4","3","1","3","1","5","1","5","5","5","5","5","5","1","1","1","1","1","1","3","1","1",""
"213","11","2","2","1","2","3","3","3","4","2","1","5","3","2","2","1","4","4","5","3","3","4","4","3","1","1",""
"215","1","2","2","1","4","3","4","3","4","3","2","5","5","5","5","2","5","5","5","1","5","3","3","3","1","5","My cat has a weenect gps so I don't lose him ??"
"218","13","2","1","1","3","2","1","3","3","4","2","5","5","5","5","4","3","1","1","1","1","1","3","3","1","1",""
"220","3","1","3","3","3","1","1","4","3","4","2","5","5","3","4","3","4","1","1","3","1","1","1","3","1","1","My cat doesn't go out so he doesn't hunt but he brings me mice or birds as toys."
"221","12","1","4","3","3","1","4","3","3","5","2","4","4","4","3","3","4","1","1","3","1","3","3","3","1","1",""
"222","3","2","3","2","3","2","1","3","3","4","3","4","5","5","4","4","3","1","4","3","1","5","2","3","1","1",""
"223","5","2","1","1","3","2","1","3","2","4","3","4","4","4","5","4","2","2","2","3","2","4","4","3","1","1",""
"228","10","2","1","1","3","2","3","3","3","2","2","4","3","4","4","4","2","3","3","1","4","4","3","3","1","1","As a kitten he is still discovering, hence his first hunting instinct."
"230","13","2","4","4","3","2","4","4","1","5","1","4","4","4","5","5","2","2","1","2","1","1","3","3","1","1",""
"232","3","1","2","1","3","1","1","2","5","5","3","5","5","4","5","2","5","1","1","3","1","4","1","3","1","1",""
"234","13","2","3","2","4","3","4","3","2","3","2","3","4","4","4","5","3","1","1","2","1","3","2","3","1","1",""
"235","13","1","3","2","4","3","4","2","4","2","2","3","4","4","4","2","5","1","4","4","2","3","1","3","1","2",""
"236","6","1","1","3","3","3","1","3","1","3","1","4","4","4","4","4","1","2","2","1","4","3","4","3","1","1",""
"238","11","2","1","1","2","1","1","2","3","4","3","5","3","4","5","5","4","3","5","3","3","3","2","3","1","1",""
"239","3","2","2","1","4","2","1","3","4","3","4","5","4","4","4","4","3","1","2","1","1","1","1","3","1","1",""
"241","13","1","3","1","2","2","2","3","4","3","4","4","4","4","4","1","4","1","3","4","3","4","2","3","1","1","She only goes out on the terrace. She chases straws, cotton buds and even clean sanitary tampons straight from the drawer. She also chases all objects with feathers and brings them to me as gifts."
"243","4","1","3","1","4","3","1","3","4","5","2","4","4","3","5","2","4","2","2","3","3","4","2","3","1","1",""
"244","8","1","4","1","3","3","2","4","3","5","4","5","5","5","5","2","3","1","5","4","2","4","4","3","1","1","Dominates 2 female dogs at home, she's the mistress of the place!"
"249","11","1","1","3","4","3","2","3","1","3","1","5","4","4","5","4","2","3","4","1","2","4","4","3","1","1",""
"250","5","2","1","2","4","3","1","3","4","2","2","4","5","4","5","2","2","1","1","3","3","4","4","3","1","1",""
"252","6","2","2","3","2","1","1","3","4","4","1","5","3","5","4","4","2","1","1","1","1","2","2","3","1","1",""
"255","3","1","2","2","3","2","1","4","2","5","1","5","5","5","5","4","1","1","5","1","1","5","4","3","1","1",""
"256","13","2","1","2","3","2","1","4","1","4","1","5","5","5","5","5","3","1","1","1","4","5","5","3","1","1",""
"260","13","2","3","1","4","2","4","4","4","5","5","4","4","3","5","5","4","1","1","2","1","4","4","3","1","1",""
"261","13","2","2","2","4","2","4","4","1","2","2","4","4","3","5","4","3","2","4","3","3","4","4","3","1","4","Loves to hunt grasshoppers"
"262","3","2","3","2","3","3","4","3","3","3","1","3","4","3","3","3","4","3","4","3","3","3","4","3","1","2",""
"263","5","1","2","1","4","3","5","3","3","3","3","4","4","4","2","2","4","4","3","3","3","3","3","3","1","1",""
"267","11","1","2","2","3","2","1","3","2","1","1","4","3","4","4","4","1","2","2","1","3","3","4","3","1","1","My cat only goes out for walks on a leash."
"268","13","1","3","2","4","3","1","4","3","3","2","5","5","5","4","4","4","2","4","3","3","4","4","3","1","1",""
"271","1","1","2","4","4","3","1","4","1","4","1","4","4","5","5","4","4","2","2","2","4","4","5","3","1","1",""
"272","13","1","3","2","3","1","1","3","5","3","2","4","2","3","5","1","5","2","5","4","3","3","3","3","1","1",""
"273","1","2","3","4","3","2","1","2","2","4","3","4","5","5","5","1","4","3","5","4","4","4","5","3","1","1",""
"274","5","2","1","2","4","3","4","3","1","4","3","4","4","3","4","4","4","1","1","1","1","4","4","3","1","5",""
"276","1","1","1","2","4","3","1","3","1","2","1","4","2","4","2","4","2","1","4","1","4","2","3","3","1","1","It's a cat dog.
 She comes to see me at the door when I come home from work. She brings back the objects."
"277","1","1","1","3","2","1","1","3","2","1","1","4","4","4","4","4","2","2","2","2","4","4","3","3","1","1",""
"278","6","2","2","3","2","1","1","3","4","4","1","5","4","5","4","4","1","1","1","1","1","3","3","3","1","1",""
"283","5","1","3","3","4","3","3","3","4","4","5","3","3","1","5","2","1","1","2","1","1","5","5","3","1","1","Learned tricks (giving paw, jumping into arms, etc.)"
"284","1","2","1","3","4","3","1","3","4","4","2","4","4","4","4","4","2","2","2","2","2","4","4","3","1","1",""
"286","1","2","3","1","3","1","2","4","1","1","1","5","4","5","4","4","1","4","5","5","5","4","4","3","1","2","Very intelligent, dominant with others but adorable with us adults, children and anyone else who comes to my house."
"287","6","1","3","3","4","2","3","3","4","4","1","5","5","5","3","4","1","1","2","2","2","4","3","3","1","1","she can't go far, harness and very long leash"
"288","5","1","3","2","4","3","1","3","5","4","4","5","5","4","5","2","2","1","1","2","2","4","2","3","1","1","Ultra cuddly"
"290","5","1","3","4","4","3","2","4","4","4","4","4","4","3","4","4","3","1","1","1","1","4","4","3","1","1",""
"291","5","2","3","3","4","3","4","2","4","4","2","4","4","3","4","1","1","1","1","1","3","4","3","3","1","1",""
"293","1","2","3","2","3","2","3","2","1","4","1","3","3","3","4","4","1","1","4","4","2","4","2","3","1","2",""
"294","1","2","1","1","2","1","2","3","1","1","3","5","5","5","5","5","1","4","5","3","5","5","5","3","1","1",""
"297","6","2","3","6","4","3","4","4","1","1","1","4","2","3","5","5","1","2","1","1","1","4","5","3","1","2",""
"298","1","1","2","1","4","3","1","3","3","3","2","4","4","4","4","4","3","3","4","4","4","3","3","3","1","1",""
"299","2","1","4","1","4","3","2","4","1","1","2","5","5","3","5","3","1","2","1","2","2","4","3","3","1","1","She is 11 years old and has always been like this"
"300","1","2","3","3","4","3","2","3","1","4","1","5","5","5","5","4","2","1","5","3","3","5","1","3","1","1","Talkative"
"301","1","2","3","4","4","2","3","3","1","1","1","5","5","5","3","5","5","2","3","1","5","5","3","3","1","1",""
"302","1","1","3","3","3","3","1","3","2","5","2","5","5","5","5","1","5","1","1","1","1","5","3","3","1","1",""
"304","1","1","2","1","4","3","3","3","2","2","1","5","5","5","5","2","2","2","2","1","4","3","3","3","1","1","Very exclusive towards us, does not like strangers. Adorable and cuddly with me, very playful with my companion. Sleeps often or all the time with us. Has borderline canine behaviors."
"305","5","2","3","3","3","1","3","4","2","2","3","4","4","4","4","4","3","1","4","3","1","2","1","3","1","1",""
"307","5","2","3","1","3","1","3","3","3","1","4","5","5","5","4","2","4","2","5","4","5","1","2","3","1","1","Lived in an apartment for the first 3 years so didn't know nature"
"308","13","2","4","1","3","2","3","4","2","4","4","4","4","5","5","4","3","2","2","3","5","1","3","3","1","1",""
"309","6","2","1","5","2","1","3","4","4","4","2","5","5","5","5","5","4","1","5","1","1","1","1","3","1","1",""
"310","5","2","3","3","4","1","2","4","4","4","2","5","5","2","4","4","4","1","3","1","1","5","2","3","1","1",""
"311","7","1","4","6","3","2","3","3","2","4","2","5","5","4","5","5","2","1","1","1","3","4","4","3","1","1",""
"312","6","2","3","2","4","1","1","2","3","4","3","5","5","4","5","3","2","1","1","1","1","3","4","3","1","1",""
"313","1","1","2","3","4","3","3","2","3","2","3","4","4","4","5","3","3","2","4","3","4","3","3","3","1","4",""
"319","5","2","1","2","4","2","3","3","1","4","1","4","4","4","4","4","1","1","3","1","1","2","2","3","1","1","He only hunts earthworms"
"322","3","2","3","2","4","3","2","4","4","5","2","4","5","5","3","1","4","1","1","1","1","4","1","3","1","2",""
"324","13","2","3","3","2","2","2","3","1","4","1","5","5","5","5","5","2","3","4","2","4","5","4","3","1","1","Breed: Egyptian Mau - Special feature: Blind"
"326","13","1","4","2","3","1","2","3","1","2","1","4","4","5","5","2","3","5","4","3","4","4","2","3","1","2",""
"327","13","1","1","2","3","1","3","3","1","2","1","5","5","5","5","5","1","2","2","2","2","3","3","3","1","3","Savage"
"329","1","2","2","1","4","3","3","3","2","2","2","5","2","5","4","3","4","2","3","2","3","3","5","3","1","1",""
"330","6","1","3","3","3","2","1","3","4","4","1","5","4","4","3","2","3","1","4","1","1","2","3","3","1","1",""
"332","7","1","1","1","4","3","1","3","4","4","3","3","5","5","5","5","3","1","1","3","3","5","5","3","1","1",""
"338","9","1","1","2","2","1","1","3","1","3","1","2","3","3","3","3","1","1","1","1","1","2","3","3","1","1",""
"339","7","2","3","2","4","3","1","2","3","5","1","3","4","4","4","3","5","1","5","4","1","4","4","3","1","1",""
"340","5","1","4","1","4","3","1","2","5","5","1","5","5","5","4","1","5","1","3","5","3","4","1","3","1","1","Since our interim move from R to town and then back to R again, she has been fearful and does not go more than 2 m from the living room window."
"341","1","2","1","1","4","1","1","3","2","2","2","5","4","4","4","4","2","2","4","1","4","2","2","3","1","1",""
"342","9","2","3","2","4","2","1","2","1","4","4","4","5","2","5","4","1","1","1","1","2","4","5","3","1","1","My cat has a predatory instinct when he plays (mice, feather dusters, lasers, etc.)"
"345","7","1","3","3","4","3","2","4","1","5","2","5","2","2","5","4","1","1","4","1","1","5","2","3","1","1",""
"346","1","2","2","2","3","2","2","2","1","4","1","5","5","5","4","2","4","2","4","1","1","4","3","3","1","1","They have access to the outside but in an enclosure"
"347","8","2","3","2","4","2","1","2","3","4","1","4","4","3","5","4","2","1","3","1","2","2","3","3","1","1",""
"349","7","1","2","4","4","3","1","4","1","1","1","1","1","1","1","1","3","3","3","3","3","1","1","3","1","1",""
"351","9","2","2","2","3","2","1","3","1","5","4","5","5","3","5","4","1","1","1","1","1","5","3","3","1","1",""
"352","9","2","1","2","3","2","1","3","1","2","1","5","3","3","4","4","1","1","1","1","3","5","4","3","1","1",""
"353","2","2","3","5","4","2","3","2","3","5","1","4","3","3","4","5","3","1","1","1","1","5","3","3","1","1",""
"355","2","1","4","2","3","3","1","4","3","4","2","4","5","5","5","4","4","1","5","5","5","5","5","3","1","1",""
"356","5","2","3","1","3","2","4","3","2","4","3","4","5","5","4","4","3","1","4","3","1","2","2","3","1","1","He only drinks from the tap, likes to go out in the rain and spent the first 3 months of his life in a garden, then 4 years in an apartment and now in a house."
"357","8","2","2","2","4","1","1","4","4","5","3","4","4","4","5","4","1","1","2","2","4","4","4","3","1","1",""
"358","8","1","3","1","4","3","2","3","2","5","3","3","2","1","3","3","4","1","2","3","2","4","2","3","1","1",""
"361","5","2","3","2","4","3","3","2","5","5","3","5","5","1","3","1","5","1","3","3","3","1","1","3","1","2","He comes from the city"
"363","9","1","1","1","3","2","1","4","1","2","3","5","1","5","5","5","1","1","5","3","2","4","5","3","1","1","Indoor cat"
"364","1","1","2","1","3","1","3","3","2","3","2","5","5","4","5","4","1","1","2","1","1","4","4","3","1","1","My cat catches insects and lizards regularly (insects every day and lizards from time to time)."
"366","5","1","4","3","4","3","1","3","5","5","5","5","5","5","5","3","2","1","1","1","1","3","2","3","1","1","She is 17 years old. When she was young, she was a fearsome hunter..."
"367","12","1","3","1","3","3","1","3","1","5","2","5","5","4","4","2","4","1","4","1","1","4","2","3","1","1",""
"368","7","2","3","2","4","3","1","3","3","4","3","4","4","4","5","4","3","1","1","1","2","2","3","3","1","1",""
"369","13","2","3","3","4","3","1","4","2","4","1","4","4","3","5","5","3","1","2","1","2","3","4","3","1","1","My cats don't go outside but love to play with feather dusters and other hanging feathers"
"372","7","1","3","2","3","3","1","3","2","4","2","3","4","1","4","4","4","1","4","3","1","5","1","3","1","1",""
"373","9","2","2","1","4","3","2","3","2","2","4","4","5","4","5","4","1","1","4","5","2","4","4","3","1","1",""
"374","1","1","3","5","3","2","3","3","5","4","5","5","4","4","3","2","2","4","4","5","4","5","1","3","1","2",""
"375","9","2","3","4","4","3","1","3","1","2","1","4","4","4","4","4","1","1","4","1","4","4","4","3","1","1",""
"377","1","2","3","1","2","1","4","2","2","4","1","5","4","5","3","3","4","3","5","5","3","4","1","3","1","4",""
"378","7","2","3","1","4","1","1","2","2","2","3","2","2","2","3","3","2","3","3","3","3","2","3","3","1","1",""
"379","6","2","2","3","4","2","3","3","2","5","1","5","5","5","5","2","2","3","1","1","1","5","5","3","1","1",""
"380","6","2","4","1","3","2","3","4","4","5","2","5","5","2","5","4","2","1","4","3","1","4","1","3","1","3",""
"382","1","1","3","2","3","3","1","3","3","5","3","4","4","4","5","4","3","1","3","1","2","3","2","3","1","1",""
"384","1","2","3","1","2","1","1","3","2","2","2","3","3","4","4","4","1","1","1","1","4","4","4","3","1","1",""
"385","9","1","1","2","2","3","2","3","1","3","1","4","3","5","5","5","1","3","1","1","1","3","3","3","1","1",""
